Date,AAPL,ABBV,AEP,AMT,AMZN,APD,AVGO,BAC,BLK,CAT,CL,COP,COST,CRM,CVX,DE,DIS,DUK,EOG,EQIX,EXC,FCX,GE,GOOGL,GS,HD,HON,JNJ,JPM,KO,LIN,LLY,LOW,MCD,META,MRK,MS,MSFT,NEE,NEM,NFLX,NKE,NVDA,PEP,PFE,PG,PLD,PSA,RTX,SHW,SLB,SO,SPG,T,TSLA,UNH,UNP,WFC,WMT,XOM
2022-04-01,2266565435724.365,224347843605.7277,46218312679.3277,97489496718.31465,1336909715410.5278,46754333939.48114,245071568659.42145,228546716549.46378,87668784434.56793,90506289519.12044,56000931890.82962,99769776248.5136,224889877155.95508,141644347915.6494,263288575915.76257,96251548420.14847,187946664802.2251,72873064482.55554,51986884367.99309,65015543401.7959,41458727703.315796,55006384781.29753,47434069863.51523,663613806944.2472,81484258318.04315,270551490065.90863,55387176601.04077,384596364145.764,287736477319.0177,245309364207.82996,136667581883.27911,251155260481.971,102371505529.24567,161540514962.7671,436408904806.92737,192584611520.76666,111467160377.23706,1989972197368.0947,132737940255.06543,69071996317.0075,80156757823.43042,139731242731.2429,448410499301.9104,206426432464.5996,222001377401.23895,336977258796.38293,131189741482.75757,53321464663.34912,116500671813.35907,65215070567.53882,53158189984.81849,70941032639.2905,30346044614.97473,104974805963.38762,1090111346657.7848,427175463480.92065,126062819585.69221,119879302246.79724,385166277092.0067,305831178338.39185
2022-05-01,2143045838533.9966,225096269187.09045,47955374801.942505,103601300612.3196,1293106780888.0586,49169255283.41391,256450149720.51257,238283061118.04214,93899969910.94513,92788952350.88521,57280128568.08746,117885960196.27817,197186784305.04675,129004734512.3291,295935936552.406,91211458843.7828,185943155737.78418,75107355407.59978,60980850570.80879,62422557580.70654,43870529185.45408,53012301305.840454,49813725229.053764,661592898722.4216,87715587859.53076,272668080796.19043,55702949263.10074,385073098598.07434,318761687798.18134,240639320091.8658,142240131199.7049,270384332603.85083,101113422528.2861,163517975406.94864,421540460469.778,199837214585.5995,119143583872.16849,1953999331288.379,142272060027.51477,64331289756.692276,83138003952.27466,133176093370.71451,451432672950.7446,201665838256.83594,241919232835.212,310384271883.8082,104336327190.55176,47456821236.51123,117456004138.35828,63721023810.553986,62856993306.02863,73812841475.12032,29484527289.895264,118500170379.39436,949271701495.2848,417288778484.5541,118954332307.15593,126446737115.77191,325014875451.6231,347924186905.61707
2022-06-01,1968538686968.0176,233940019452.2776,45092995110.43689,103998933408.36217,1142512583349.132,48356900266.18857,216535815189.7218,200550384347.8544,86085786178.49268,76844827409.33798,58246794030.846176,94958094919.23119,202710496328.53784,132869065841.6748,245308644559.96936,76626138738.48495,158937284390.44287,71562914355.0894,49848941926.51451,59690658687.65088,40451924834.0698,39691404394.18141,40559802670.89186,633683890735.3309,79710198493.2832,248577935899.83066,50003769509.17012,380740321091.327,271464566103.7655,240580562740.72888,126427734676.0556,279692237308.22015,90432559141.53699,160949406092.06616,351029757959.2736,199589972107.04407,105201523036.52477,1845903228643.31,145599080476.6131,57037866228.51991,73634231803.08203,114802839640.14622,366576317032.814,201749024688.7207,239136996844.99826,301799872706.47327,96983275170.48645,45181342544.66089,118678480596.44028,53230015485.46442,48907001875.23862,69569039464.50333,24785838944.458862,116663397322.41426,843059835008.0286,432981124675.9502,115436244512.5088,108213217001.85587,307201423932.43585,310377332048.2762
2022-07-01,2339871558855.652,221250780018.13492,46324433750.4798,110200068544.81483,1451671885560.1072,49915304897.401276,238674740886.7146,217815919659.7598,94586380765.13593,85816686389.23059,57578300916.79436,103014885704.87277,229336899840.69434,148149334396.3623,277501349836.6816,87810328019.58008,178636047832.93506,73378518478.19821,50582712172.349625,63935203372.67871,41496253349.81996,43041999089.524475,47083008598.903366,676469159246.9398,89470696554.4932,272749632087.3208,55369226512.33278,374327087511.01044,280553791343.1745,245399043025.3194,132790287223.89313,284402209243.0541,99725164392.60951,171699786024.9052,346349355378.25726,195583724403.12,117704193546.12006,2017750390056.6914,158813138819.78677,43282633913.80922,94700857930.9447,129091415422.10535,439219336444.85474,211796490783.6914,232167383502.57776,293449982093.2069,109274150622.25342,49081420656.70532,115097499848.62244,57516269057.37303,50643931924.70836,75012809252.32718,28368459846.713196,105921779007.05081,1116013325344.5308,457183167499.67664,123024478447.9608,121197671160.4664,333656335953.73846,351294676090.3421
2022-08-01,2266848712365.967,207298249748.48734,47465189602.25336,103372335097.6963,1363678727090.8179,50763880863.61282,222463879462.46625,216527431925.44202,94192024210.82355,79955615453.94566,57190733639.60289,116244323150.01105,221202268614.58887,125687819503.78418,270243061611.8269,93457430813.06458,188704335027.95703,72020309746.04642,55167087769.22699,59982606687.40674,39485418904.132,40381709406.03088,46783607938.0448,629362888419.3177,89951524079.54105,263108048115.91522,54746532955.631195,348382507334.79803,276589638678.3245,235991498728.25906,124374347102.07184,260699897928.36896,101084110664.2348,165370130267.6597,354686996844.2452,186870636406.8495,118988733858.24365,1883241495791.8184,160659954202.7539,39535545865.97414,94136615682.8175,119576924016.79169,365004549278.2593,208540130706.7871,207898066453.0028,291400856919.85565,102638248849.07532,49746043880.31592,111470448784.5574,55308986376.20087,52175689628.61811,75850518711.60374,26629370926.17639,98928015841.61227,1035115001070.8236,437786158621.6383,122197931017.31992,121586732117.25363,336378416503.3272,349804295118.0681
2022-09-01,1992612271056.2744,206912869142.77145,40951745259.604065,87360900640.42287,1215553366268.0,47127912594.006226,199564140931.7624,195840944894.6891,78361374708.2421,71025482160.74542,51370014524.035034,110255905068.5603,200090401142.36902,115801533737.18262,245639721548.05643,85713279657.75528,158819412212.25586,62663251830.96975,51442463174.46419,51904574081.46094,33685352871.969635,37284874648.71047,39487558581.881065,556260952706.776,79238562941.40555,251723229222.63235,48275828125.75195,352744339233.39197,254142393207.14926,215793741338.27814,119031870882.47406,279843682038.57874,97788245656.2669,151250593477.85663,295365685429.2629,190054356755.28064,110317987473.15204,1677465149294.0996,148099541050.78265,40712841412.12544,99139043177.55115,93638182183.46967,293633658098.2208,198961309997.5586,201141216937.47833,266705488435.60367,84284999765.93018,44289978942.53174,101671013055.66586,48791533964.49803,49325228378.215805,66924042006.43463,23839060058.929077,86519698993.70863,996205756782.75,427075830328.6874,106038044103.28255,111878711006.51752,329145855131.39813,319504235508.35266
2022-10-01,2210905609652.466,228003001394.7354,41648091105.38251,84919831668.55777,1101958316886.3142,50706093839.278076,211299489691.26465,233712226951.02917,91979319346.26465,94326231507.52464,54351225194.46854,135842960617.70699,212858051427.82837,130896635009.76562,309293705557.0985,101611397856.40182,179376865927.5381,62771044664.226974,63228628953.88718,51685570944.819336,34701492265.704704,43459027120.96416,49628937080.235504,549631217067.2396,93152968595.99066,270141390532.1161,58988047547.36577,375654590388.0385,308877248366.20044,230547203416.05646,131288702585.68451,313371259381.7746,102057972963.56442,178729268804.00604,202802678879.62903,223333767204.09164,115842768339.87595,1671919440121.6157,146380752864.39807,40993750843.99478,122904786278.73364,104407932674.4642,326482691760.0632,221287518646.24023,213965357667.5019,286511886333.03455,91875646038.58948,46852296322.888916,117767441120.08997,53624220014.70801,71487223691.76971,64443914226.08591,28946858913.752747,104645888751.13701,854577384391.9087,469450184117.4651,107300789920.9586,127928958033.44568,361197596938.0602,405500757669.9547
2022-11-01,2137885228386.7188,251021290274.31097,46285030636.43756,90682521446.26753,1038491354799.8678,62807533282.595215,247665148956.34064,245449577053.05222,101960345049.8512,103019792737.43504,57030508965.82855,133571923099.30237,228880834510.57983,129012770050.04883,315838694496.5909,113209596084.28116,164779568491.62256,68016129850.81589,65734240799.489746,63326536939.785645,37525673826.77076,54580914354.02897,54833567787.687836,587316162108.7832,105096843876.85089,297344345167.9635,63789070223.29628,386837409095.63354,339058263105.5699,246768860702.20193,148565730390.4596,322047559279.87396,111271737342.70679,179821556642.7528,257095278450.52634,243018892634.30524,131209562420.67282,1842827845794.358,160792452644.95413,45982364182.67801,128652525305.67834,123570407733.71779,409459948451.99585,226076918579.10156,232395627387.18378,317339618236.0799,97715868119.07959,45068968992.85327,123330216044.97565,59527431711.12251,70827712229.13704,67274392759.28481,31725207630.08667,110673236861.89752,731239426222.1404,463201009894.5665,118344384748.48796,134240061874.7819,386803496204.0532,410720205981.4789
2022-12-01,1876480165618.6218,251691008707.8327,45400444840.242004,87476215146.53018,903597192624.0,62749206002.07953,253402597137.09143,216032215812.24185,101606487473.82916,104392453271.97656,57994762969.40872,128409212629.78891,193758119854.1631,106744482971.1914,309256934419.7737,110375360213.65509,146276140488.57568,70098893422.76953,60700955643.674545,60060493598.10449,39212832982.63576,52112428007.01547,53494754187.30698,513109255535.37,93456330719.3432,289883071480.4319,62263718771.8461,383903613412.2273,329046994992.8847,246768860702.20193,144520501841.80298,317499917590.6086,104303846960.48978,173717381550.41638,261971591378.989,246472825401.18655,119860685766.77487,1732174591554.4062,158704237734.35165,46260801673.447235,124168030656.01013,132221294798.29193,353592630690.57465,221539641693.11523,237541398593.2025,322445580307.8657,94145374643.81409,42664192666.44763,126078663847.7645,56696545072.70267,73703016585.50902,71024020068.29594,31683643176.033936,105679158082.955,462630067575.936,449716944529.3032,113399903133.85106,115594822159.18173,361183693128.50134,406883777072.9005
2023-01-01,2083870603126.526,232292898160.39777,44927076119.164856,92236917766.09262,1109380666589.3965,65242817867.36047,265131648287.91788,231425781156.41455,108858898062.66669,110464092389.67517,55204136938.55942,132620586353.7697,216949700991.36914,135227902313.23242,299832248808.46246,108851376944.91272,182659997584.13037,69731340262.478,62374884001.6333,67680011336.22754,38269473202.455574,61394171819.518036,65819732477.94212,574812690540.841,99560998291.65207,297509608250.8475,60572760469.12175,355151592935.6079,345962719174.1943,237884995400.3165,146629509932.63306,298675922703.47943,109581616630.4225,176268452750.4242,324297017830.1314,238608814920.63184,138321977110.6118,1789884833075.481,141675809081.66077,51876791219.904755,149003323393.9834,143882909317.67648,472706848062.51526,209718351562.5,206598980879.64648,304815830498.39856,107966934102.99683,46341476762.78613,124741905470.05325,56519764957.028015,78555891490.26825,67314187850.38319,34644882912.42383,118618664599.2196,650566493519.2439,423430171531.0868,111822725580.99428,131216504440.38339,366482137446.2762,427947358012.6065
2023-02-01,2132180924305.481,241961920975.57956,42452816270.73688,81757615163.95497,1013642458265.182,58213908265.79169,269337470852.02356,223729005252.16446,98853512427.0321,104885936650.24695,54293087660.90584,112967592628.80344,205864436162.64917,131717821975.70801,279451587636.53357,107924612105.74265,167709136607.77686,64813154701.15257,53305163548.81561,63108310324.62793,36954709444.55427,56372007427.40612,69279193962.31667,523751801294.1565,95707112741.27087,272151934154.34216,55928164138.552,335466966975.39355,354342325270.37195,230863278574.77017,154352239503.29773,270970953018.51562,108266116256.53583,174972356323.36963,380831955667.55383,236009688021.9913,137142443110.38654,1806025719028.9966,135712663146.8762,42742231752.28717,135642458251.1023,134232711012.04889,561722007446.2891,212796312072.7539,189803444389.11707,294496885173.77014,103056318563.52234,45520756537.87573,123217413635.94846,53022846230.39195,73705429035.88211,63373484759.78852,32926937433.811707,110116780530.96002,772589982718.8413,403708765977.9746,114280634505.02773,131771798835.26022,362049766890.3002,408564942241.8629
2023-03-01,2385161532488.037,250561826009.6579,43910220893.68909,84371247129.54727,1111101843492.868,58832341894.59857,292844193596.4501,187759471643.00385,96636361283.61395,100196614643.3936,55663376445.51315,109113949628.75613,211260022763.85425,160837273498.53516,283605875251.88794,106619903567.79404,168584626017.57275,66332752316.91093,54564190894.036865,66434163879.20752,38327119996.00873,56289458947.76193,78257950175.20195,603250974422.5616,89665636608.4151,272810126104.77124,55823001660.861465,339275700223.63776,322109216753.15326,242485236439.63666,158074849300.6375,299006706296.9221,105224655299.22917,185381447125.9395,461378267509.5725,237986082702.71405,124778304879.33514,2087551560683.5352,147272010549.581,48501064471.77197,145474668958.8811,138978352671.97876,672191698509.2163,225061422973.6328,190879482333.19418,318324696331.5705,104961340488.93738,46488094991.76343,123016415956.03235,53842092268.22597,68012342721.39577,69925879388.78937,30649168240.602173,112096671704.46991,779162499493.0913,402294945219.135,110961589572.36215,105316003984.62334,377141016429.24756,407635624292.5702
2023-04-01,2454300754830.3223,239776830464.59793,44600306741.998535,85019698395.75064,1134337157198.1072,60296966207.610596,285978910852.1597,192223698853.5973,96936749991.31152,96320665918.04288,59485337779.825745,113161315801.51685,213959927352.70825,159702100708.0078,293027005306.94543,97617851261.28082,172574911252.10254,67989858210.11086,57254230732.14775,66714265411.67432,38830343833.69851,52352620886.070496,81016618455.59573,624245152202.0425,94141929478.23642,277820387909.21405,58369985335.93277,358318888959.0509,344392897383.2075,250772632564.14267,164305490074.75708,344664775224.64215,109907435196.33073,196082292432.46982,523159507859.19635,258297294451.99493,128969580194.06444,2224839317027.3154,146412242526.59503,46898220396.46515,138926875962.80737,143601895642.5844,671514114038.4674,235666348632.8125,181943695115.8909,336883952813.16406,105365148288.63525,45363341403.17212,125491072102.40836,56901049868.246506,68358640562.18526,73915618941.86455,31018700977.87744,104355312191.8284,617102980074.7622,418894410382.9226,107896179112.72455,111993311685.00948,386144279556.52045,439901523253.01324
2023-05-01,2567341805616.638,218896399719.56372,40476915318.95856,76721141610.36165,1297092275489.7356,55130880304.944214,368810141800.0233,182441847354.15524,94965392927.29999,90575755021.43935,55445111917.53525,109776002893.60748,217959587004.42078,179836946273.8037,264372534343.2331,89344015459.66797,148094514584.15234,62024530372.878174,51417142676.03256,69016296458.16162,36587712212.714485,47422568817.91948,83112200200.7267,714561177612.7194,89461774668.68353,263908650529.96002,56256839786.54292,341967841237.05786,338089937167.6395,233220498766.10773,157283237561.12823,374892027638.906,106364250265.96619,189027950187.81287,576276595081.9211,246978503257.63904,117200798629.85461,2383037908500.846,141256259853.18796,40521939957.5126,166423385210.51245,119282951883.89098,915566809326.1719,225123140594.48242,179798239561.40622,306982760693.59375,104776284142.74597,43589299947.887695,116454693966.5245,54708519561.8656,59327270437.811615,70760273307.19313,28782355216.46582,92898063535.10233,765904741505.2869,414765801012.07666,106862381053.82132,113039811881.00528,377084490461.1285,383126385257.89075
2023-06-01,2809519354280.3955,213771430764.1601,41002825676.61731,81334382988.31235,1402296792642.5786,61722440635.61145,398065891613.77454,189853318353.9601,100550600306.60223,108316727047.30147,57427960173.17207,115228907738.67441,229386758724.78662,170079466552.73438,276185216624.7799,104957862397.88055,150316955619.43066,62337131373.67826,54843683521.48491,72570092175.76709,37593527564.94721,55238845423.83503,89922962262.88109,696125912704.7224,89086137167.65192,289224149219.933,60925342173.84874,365036220276.53345,362329997216.5718,237202491017.72482,170090898629.42322,409390511297.4663,119357687968.42172,198896063026.23724,624734960044.2997,259842856724.38818,122418623158.74866,2471207044626.2524,142679213881.1258,42630473136.78404,185481463460.3484,125485422538.88974,1023796364643.0969,230263711914.0625,173461264869.61115,326888202927.7429,103900403408.26416,45382684742.95972,123810543271.6831,63772958191.196686,68410077654.182625,71267508057.60663,32137489903.170105,94197345167.59499,983135796450.0552,410827062775.0138,113578734597.84978,121189114340.93552,403555127751.7575,402136466678.92285
2023-07-01,2845440132280.8228,239964519850.8864,41265799535.810486,79812048096.4229,1438010310617.0574,62917616425.67731,412392788012.6407,211756905982.39337,107491676773.6142,117311870042.69211,57205843415.468445,130921200431.57565,238883874635.8374,181149225814.81934,287260683187.01843,111280887910.44083,149660331937.81836,65032332867.32422,63943442350.87242,74975081543.65283,38627028522.61514,61888354958.53453,93585738869.14566,771844952988.9357,98291938810.70782,310824712732.64136,56999696931.9668,369469016884.4165,396223265361.66187,243938069390.83502,174371307993.60352,396794010806.8037,124474926842.90945,195423478650.12558,693569609572.9226,240161556476.94626,132462754870.94733,2437680928295.08,140948619060.40558,42890291657.68553,184841420285.04517,125508154748.77441,1130939160766.6016,233048487670.89844,172429155937.61697,338833145359.7816,105696600877.94495,43807638565.52344,111133736830.04068,66410148406.62384,81250900826.20416,73387772794.0408,34675541645.43701,87280998844.24449,1004393207313.7869,432819771626.6311,128787707397.46843,131070489844.62323,410435904527.2505,402099024529.2661
2023-08-01,2724839360233.032,235761377530.0785,38574569337.44092,76041837440.11378,1484588614171.793,60889950032.67389,423516615376.3772,191301987236.3567,101918152701.52722,124372584339.70523,55112934941.93092,132954271312.04683,234473095732.7483,178291236236.57227,285484789201.07764,106447320894.03458,140888453223.42285,62381454730.375984,62056925022.37114,72665381595.06885,37353357962.79953,55318344879.7177,93765969899.99031,791908555956.7229,91268839168.90082,309492596735.69574,55484197966.589035,359156323952.3649,367050828925.1981,235666298126.18442,172751117047.78198,484819402986.69653,122461186382.3063,188399427441.99887,644131441555.8395,245408425897.63046,123189202941.28493,2383501732274.1733,129339650378.48843,39392710837.72807,182613910690.80737,115639410587.97134,1194493784530.6396,222744500549.3164,169177593731.45276,334584098900.0628,105230616820.48035,42972697502.99634,109503809316.7814,65407001974.26184,82114375557.61409,69423035257.35269,31583685612.1864,88903989297.48889,969277166196.8175,407356752782.4702,123148618648.12161,118159206415.6437,418980645515.70984,420327216465.2789
